[8728] APPL / device (0)=n_108 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8807] APPL / device (0)=n_227 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8234] APPL / device (0)=n_347 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8758] APPL / device (0)=n_218 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8769] APPL / device (0)=n_34 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8514] APPL / device (0)=n_80 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8568] APPL / device (0)=n_205 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8529] APPL / device (0)=n_50 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8621] APPL / device (0)=n_233 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8216] APPL / device (0)=n_274 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9712] APPL / device (0)=n_15 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9683] APPL / device (0)=n_336 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9661] APPL / device (0)=n_122 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9625] APPL / device (0)=n_279 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9431] APPL / device (0)=n_411 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9645] APPL / device (0)=n_240 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9460] APPL / device (0)=n_327 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9603] APPL / device (0)=n_356 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9363] APPL / device (0)=n_259 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9540] APPL / device (0)=n_116 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9544] APPL / device (0)=n_153 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9372] APPL / device (0)=n_359 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9458] APPL / device (0)=n_158 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9398] APPL / device (0)=n_0 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9480] APPL / device (0)=n_272 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9405] APPL / device (0)=n_142 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9234] APPL / device (0)=n_112 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9407] APPL / device (0)=n_267 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9254] APPL / device (0)=n_145 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9222] APPL / device (0)=n_63 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9337] APPL / device (0)=n_323 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9602] APPL / device (0)=clock_tick_in_red_293554588808 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9555] APPL / device (0)=n_29 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9304] APPL / device (0)=n_365 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9290] APPL / device (0)=n_314 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9305] APPL / device (0)=n_312 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9264] APPL / device (0)=n_328 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9259] APPL / device (0)=n_72 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9697] APPL / device (0)=n_213 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9724] APPL / device (0)=n_128 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9477] APPL / device (0)=n_92 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9987] APPL / device (0)=n_235 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9771] APPL / device (0)=n_95 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10137] APPL / device (0)=n_74 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9735] APPL / device (0)=n_232 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9350] APPL / device (0)=n_300 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9753] APPL / device (0)=n_135 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9490] APPL / device (0)=n_211 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9520] APPL / device (0)=n_120 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9955] APPL / device (0)=n_373 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9510] APPL / device (0)=n_133 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10097] APPL / device (0)=n_263 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10102] APPL / device (0)=n_136 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9249] APPL / device (0)=n_289 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9964] APPL / device (0)=n_105 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10062] APPL / device (0)=n_51 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9359] APPL / device (0)=n_364 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9942] APPL / device (0)=n_293 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10171] APPL / device (0)=n_106 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9267] APPL / device (0)=n_225 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10238] APPL / device (0)=n_180 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10018] APPL / device (0)=n_37 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9853] APPL / device (0)=n_143 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10119] APPL / device (0)=n_382 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10156] APPL / device (0)=n_282 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9503] APPL / device (0)=clock_tick_in_red_389306624579 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[10125] APPL / device (0)=n_70 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10223] APPL / device (0)=n_271 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9823] APPL / device (0)=n_163 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9856] APPL / device (0)=n_107 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10124] APPL / device (0)=n_353 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9807] APPL / device (0)=n_84 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9279] APPL / device (0)=n_65 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10016] APPL / device (0)=n_188 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10154] APPL / device (0)=n_22 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9339] APPL / device (0)=n_152 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9936] APPL / device (0)=clock_tick_in_red_94613267851 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9798] APPL / device (0)=n_309 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10094] APPL / device (0)=clock_tick_in_red_372351578985 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9801] APPL / device (0)=n_127 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9803] APPL / device (0)=n_117 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9331] APPL / device (0)=clock_tick_in_red_230714439533 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[10027] APPL / device (0)=clock_tick_in_red_335117997895 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9841] APPL / device (0)=n_41 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9945] APPL / device (0)=n_155 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9826] APPL / device (0)=n_167 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9907] APPL / device (0)=n_164 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9827] APPL / device (0)=n_341 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9582] APPL / device (0)=n_228 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9967] APPL / device (0)=n_352 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10150] APPL / device (0)=n_265 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9871] APPL / device (0)=n_340 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9863] APPL / device (0)=clock_tick_in_red_80472334105 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9227] APPL / device (0)=clock_tick_in_red_150199592145 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9578] APPL / device (0)=clock_tick_in_red_91003746221 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9522] APPL / device (0)=clock_tick_in_red_427365903675 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9633] APPL / device (0)=clock_tick_in_red_52227866074 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9223] APPL / device (0)=clock_tick_in_red_339882402540 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[10181] APPL / device (0)=clock_tick_in_red_7573903745 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[9567] APPL / device (0)=n_395 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[10227] APPL / device (0)=n_154 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9819] APPL / device (0)=n_357 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[9525] APPL / device (0)=clock_tick_in_red_186559498014 / recv / tick_in : seen' = 1, firingsTotal' = 0 
[8769] APPL / device (0)=n_64 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8514] APPL / device (0)=n_149 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8568] APPL / device (0)=n_383 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8529] APPL / device (0)=n_258 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8621] APPL / device (0)=n_386 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8216] APPL / device (0)=n_354 / init : sentSpike=65536, waitTick=65536, Icount = 10, fanin=10 
[8258] APPL / device (0)=n_345 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8932] APPL / device (0)=n_338 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8643] APPL / device (0)=n_400 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8412] APPL / device (0)=n_6 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8425] APPL / device (0)=n_199 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9068] APPL / device (0)=n_393 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9187] APPL / device (0)=n_198 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8939] APPL / device (0)=n_98 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8844] APPL / device (0)=n_195 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8900] APPL / device (0)=n_147 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8960] APPL / device (0)=n_416 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8388] APPL / device (0)=n_101 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9009] APPL / device (0)=n_119 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8870] APPL / device (0)=n_367 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8739] APPL / device (0)=n_238 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8873] APPL / device (0)=n_157 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8726] APPL / device (0)=n_73 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9007] APPL / device (0)=n_79 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8924] APPL / device (0)=n_11 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8323] APPL / device (0)=n_39 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9214] APPL / device (0)=n_290 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8881] APPL / device (0)=n_124 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9040] APPL / device (0)=n_214 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9049] APPL / device (0)=n_14 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9210] APPL / device (0)=n_71 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8455] APPL / device (0)=n_131 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8885] APPL / device (0)=n_47 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8578] APPL / device (0)=n_223 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8478] APPL / device (0)=n_203 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[9181] APPL / device (0)=n_40 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8226] APPL / device (0)=n_308 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8242] APPL / device (0)=n_31 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8576] APPL / device (0)=n_18 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8331] APPL / device (0)=n_90 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8991] APPL / device (0)=n_294 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8802] APPL / device (0)=n_138 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8314] APPL / device (0)=n_146 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8804] APPL / device (0)=n_244 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
[8895] APPL / device (0)=n_268 / send / tick_out : sentSpike=256, waitTick=256, Icount = 0, fanin=10 
